,title,year,country,language,duration,genre,director,production_company,description,budget,usa_gross_income,worlwide_gross_income,IMDB_rating,metascore,reviews_from_users,votes,reviews_from_critics,female_avg_rating,male_avg_rating,female_votes,male_votes,avg_rating_<18yrs,votes_<18yrs,avg_rating_18-30yrs,votes_18-30yrs,avg_rating_30-45yrs,votes_30-45yrs,avg_rating_>45yrs,votes_>45yrs,positive_votes,neutral_votes,negative_votes,percentage_of_positive_reviews,overall_eval,genre_1,genre_2,genre_3,country_1,country_2,country_3,budget_USD,actor_1,listing_1,actor_2,listing_2,actor_3,listing_3
1771,Napoleon Dynamite,2004,USA,English,96,Comedy,Jared Hess,Fox Searchlight Pictures,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",$ 400000,$ 44540956,$ 46138887,6.9,64.0,1526.0,188028,216.0,6.8,6.9,29402.0,121616.0,7.3,89.0,6.8,40398.0,6.8,87194.0,7.0,19839.0,128670,41377,17981,0.68,1,Comedy,,,USA,,,400000.0,Jon Heder,D,Jon Gries,D,Aaron Ruell,D
1773,Alfie,2004,"UK, USA",English,103,"Comedy, Drama, Romance",Charles Shyer,Paramount Pictures,A cockney womanizer learns the hard way about the dangers of his actions.,$ 60000000,$ 13399812,$ 35060882,6.2,49.0,158.0,48839,136.0,6.1,6.2,13441.0,27066.0,7.0,4.0,6.3,8339.0,6.2,25740.0,5.9,5743.0,22690,22961,3188,0.46,0,Comedy, Drama, Romance,UK, USA,,60000000.0,Jude Law,A,Renée Taylor,D,Jane Krakowski,D
1760,Les choristes,2004,"France, Switzerland, Germany",French,97,"Drama, Music",Christophe Barratier,Vega Film,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,EUR 5500000,$ 3635164,$ 88385944,7.9,56.0,114.0,53678,119.0,8.2,7.7,14200.0,29049.0,7.8,58.0,8.0,14296.0,7.8,20834.0,7.8,6936.0,48113,4935,630,0.9,1,Drama, Music,,France, Switzerland, Germany,6050000.000000001,Gérard Jugnot,D,François Berléand,D,Kad Merad,D
1740,Sleepover,2004,USA,English,89,"Comedy, Family, Romance",Joe Nussbaum,Metro-Goldwyn-Mayer (MGM),"Four best friends, desperate to improve their social status, enter into an all-night scavenger hunt against the popular clique in their school.",$ 10000000,$ 9436390,$ 9784050,5.3,33.0,73.0,14591,54.0,5.7,4.7,7572.0,4189.0,5.6,9.0,5.6,6036.0,4.9,4317.0,5.2,1062.0,5313,6488,2790,0.36,0,Comedy, Family, Romance,USA,,,10000000.0,Alexa PenaVega,D,Mika Boorem,D,Jane Lynch,D
1799,White Chicks,2004,USA,English,109,"Comedy, Crime",Keenen Ivory Wayans,Revolution Studios,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson Sisters from a kidnapping plot.,$ 37000000,$ 70831760,$ 113086475,5.6,41.0,292.0,121858,71.0,6.1,5.3,27355.0,70674.0,5.8,113.0,5.9,40368.0,5.2,46620.0,4.9,7206.0,52504,48745,20609,0.43,0,Comedy, Crime,,USA,,,37000000.0,Shawn Wayans,D,Marlon Wayans,D,Jaime King,D
1739,The Princess Diaries 2: Royal Engagement,2004,USA,"English, Greek, French, Spanish",113,"Comedy, Family, Romance",Garry Marshall,Walt Disney Pictures,"Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor.",$ 40000000,$ 95170481,$ 134734481,5.8,43.0,159.0,69282,77.0,6.2,5.1,34153.0,19427.0,6.6,94.0,5.9,26107.0,5.5,20578.0,5.7,4699.0,27402,35486,6394,0.4,0,Comedy, Family, Romance,USA,,,40000000.0,Anne Hathaway,A,Julie Andrews,C,Hector Elizondo,D
1710,Secret Window,2004,USA,English,96,"Drama, Mystery, Thriller",David Koepp,Grand Slam Productions,A successful writer in the midst of a painful divorce is stalked at his remote lake house by a would-be scribe who accuses him of plagiarism.,$ 40000000,$ 48022900,$ 92913171,6.6,46.0,544.0,172921,198.0,6.7,6.5,34976.0,106012.0,7.0,64.0,6.8,39125.0,6.5,82254.0,6.3,15859.0,100334,66690,5897,0.58,0,Drama, Mystery, Thriller,USA,,,40000000.0,Johnny Depp,A,John Turturro,D,Maria Bello,C
1711,Taking Lives,2004,USA,"English, French",103,"Crime, Mystery, Thriller",D.J. Caruso,Warner Bros.,An FBI profiler is called in by French Canadian police to catch a serial killer who takes on the identity of each new victim.,$ 45000000,$ 32682342,$ 65470529,6.2,38.0,326.0,76332,144.0,6.6,6.1,15634.0,46833.0,6.2,4.0,6.5,11847.0,6.2,39240.0,6.2,10051.0,34752,37300,4280,0.46,0,Crime, Mystery, Thriller,USA,,,45000000.0,Angelina Jolie,A,Ethan Hawke,C,Kiefer Sutherland,D
1838,Primer,2004,USA,"English, French",77,"Drama, Sci-Fi, Thriller",Shane Carruth,ERBP,"Four friends/fledgling entrepreneurs, knowing that there's something bigger and more innovative than the different error-checking devices they've built, wrestle over their new invention.",$ 7000,$ 424760,$ 545436,6.9,68.0,434.0,91588,128.0,6.5,6.9,6934.0,68479.0,6.6,39.0,7.0,20681.0,6.9,42958.0,6.5,9971.0,62320,23587,5681,0.68,1,Drama, Sci-Fi, Thriller,USA,,,7000.0,Shane Carruth,D,David Sullivan,D,Casey Gooden,D
1837,Friday Night Lights,2004,"Germany, USA",English,118,"Action, Drama, Sport",Peter Berg,Universal Pictures,"Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.",$ 30000000,$ 61255921,$ 61950770,7.2,70.0,316.0,55257,124.0,7.1,7.2,5171.0,39551.0,7.5,17.0,7.4,10472.0,7.2,25868.0,7.1,7053.0,43081,10846,1330,0.78,1,Action, Drama, Sport,Germany, USA,,30000000.0,Billy Bob Thornton,D,Lucas Black,D,Garrett Hedlund,C
1714,Dodgeball: A True Underdog Story,2004,USA,"English, German",92,"Comedy, Sport",Rawson Marshall Thurber,Twentieth Century Fox,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,$ 20000000,$ 114326736,$ 167722310,6.7,55.0,401.0,217571,145.0,6.5,6.7,23486.0,150068.0,6.7,82.0,6.8,53578.0,6.6,95057.0,6.6,18800.0,136184,73271,8116,0.63,1,Comedy, Sport,,USA,,,20000000.0,Vince Vaughn,B,Christine Taylor,D,Ben Stiller,A
1831,Christmas with the Kranks,2004,USA,"English, Spanish",99,"Comedy, Family",Joe Roth,Revolution Studios,"With their daughter away, the Kranks decide to skip Christmas altogether until she decides to come home, causing an uproar when they have to celebrate the holiday at the last minute.",$ 60000000,$ 73780539,$ 96593018,5.3,22.0,244.0,37723,112.0,5.8,5.1,8191.0,21541.0,5.4,38.0,5.3,9020.0,5.2,14281.0,5.5,5225.0,11668,19202,6853,0.31,0,Comedy, Family,,USA,,,60000000.0,Tim Allen,A,Jamie Lee Curtis,D,Dan Aykroyd,C
1772,Sideways,2004,"USA, Hungary","English, Armenian",127,"Comedy, Drama, Romance",Alexander Payne,Fox Searchlight Pictures,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",$ 16000000,$ 71503593,$ 109706931,7.5,94.0,866.0,171880,291.0,7.0,7.5,22485.0,118217.0,8.0,39.0,7.5,23292.0,7.4,86523.0,7.5,28693.0,136998,28302,6580,0.8,1,Comedy, Drama, Romance,USA, Hungary,,16000000.0,Paul Giamatti,D,Thomas Haden Church,D,Virginia Madsen,D
1717,A Dirty Shame,2004,USA,English,89,Comedy,John Waters,Fine Line Features,"An uptight, middle-aged, repressed woman turns into a sex addict after getting hit on the head, and she then falls into an underground subculture of sex addicts in suburban Baltimore.",$ 15000000,$ 1339668,$ 1808166,5.1,56.0,104.0,11781,85.0,5.4,5.0,1432.0,8217.0,6.0,2.0,5.0,1039.0,5.0,6070.0,5.2,2457.0,3957,4777,3047,0.34,0,Comedy,,,USA,,,15000000.0,Tracey Ullman,D,Johnny Knoxville,D,Selma Blair,D
1719,Shaun of the Dead,2004,"UK, France",English,99,"Comedy, Horror",Edgar Wright,Rogue Pictures,A man's uneventful life is disrupted by the zombie apocalypse.,GBP 4000000,$ 13542874,$ 30039392,7.9,76.0,931.0,481173,262.0,7.9,7.9,58912.0,327045.0,8.3,375.0,7.9,125315.0,7.9,206382.0,7.8,40301.0,418380,51343,11450,0.87,1,Comedy, Horror,,UK, France,,5040000.0,Simon Pegg,A,Kate Ashfield,D,Nick Frost,D
1724,Harold & Kumar Go to White Castle,2004,"USA, Canada, Germany","English, Hindi",88,"Adventure, Comedy",Danny Leiner,Endgame Entertainment,A Korean-American office worker and his Indian-American stoner friend embark on a quest to satisfy their desire for White Castle burgers.,$ 9000000,$ 18250550,$ 23936908,7.1,64.0,325.0,174326,152.0,6.8,7.1,16114.0,129983.0,7.5,43.0,7.2,47003.0,7.0,83623.0,6.8,12201.0,128442,39730,6154,0.74,1,Adventure, Comedy,,USA, Canada, Germany,9000000.0,John Cho,B,Ethan Embry,D,Rob Tinkler,D
1729,D.E.B.S.,2004,USA,English,91,"Action, Comedy, Romance",Angela Robinson,Screen Gems,"Plaid-skirted schoolgirls are groomed by a secret government agency to become the newest members of the elite national-defense group, D.E.B.S.",$ 3500000,$ 97446,$ 97446,5.2,42.0,155.0,14042,51.0,5.9,4.8,4796.0,6601.0,4.6,5.0,5.3,2582.0,5.1,6569.0,5.4,2095.0,6013,5276,2753,0.43,0,Action, Comedy, Romance,USA,,,3500000.0,Sara Foster,D,Jordana Brewster,B,Meagan Good,D
1829,Seed of Chucky,2004,"Romania, USA, UK","English, Japanese",87,"Comedy, Fantasy, Horror",Don Mancini,Rogue Pictures,"Chucky and Tiffany are resurrected by their innocent son, Glen, and hit Hollywood, where a movie depicting the killer dolls' murder spree is underway.",$ 12000000,$ 17083732,$ 24829644,4.8,46.0,238.0,36320,160.0,4.8,4.8,5261.0,24223.0,4.7,39.0,4.8,9113.0,4.8,16355.0,5.0,3148.0,9077,18308,8935,0.25,0,Comedy, Fantasy, Horror,Romania, USA, UK,12000000.0,Brad Dourif,D,Jennifer Tilly,D,Billy Boyd,D
1734,The Village,2004,USA,English,108,"Drama, Mystery, Thriller",M. Night Shyamalan,Touchstone Pictures,A series of events tests the beliefs of a small isolated countryside village.,$ 60000000,$ 114197520,$ 256697520,6.5,44.0,2045.0,231798,281.0,6.7,6.5,37181.0,149098.0,6.2,67.0,6.4,39289.0,6.5,115538.0,6.5,26822.0,133067,80267,18464,0.57,0,Drama, Mystery, Thriller,USA,,,60000000.0,Bryce Dallas Howard,B,Joaquin Phoenix,B,Adrien Brody,D
1828,Saw,2004,USA,English,103,"Horror, Mystery, Thriller",James Wan,Evolution Entertainment,"Two strangers, who awaken in a room with no recollection of how they got there, soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",$ 1200000,$ 56000369,$ 103911669,7.6,46.0,1584.0,359110,314.0,7.5,7.6,44844.0,244977.0,7.6,298.0,7.6,91437.0,7.7,164262.0,7.3,24886.0,297850,48826,12434,0.83,1,Horror, Mystery, Thriller,USA,,,1200000.0,Leigh Whannell,D,Cary Elwes,D,Danny Glover,B
1823,Taegukgi hwinalrimyeo,2004,South Korea,Korean,140,"Action, Drama, War",Je-kyu Kang,Showbox Entertainment,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",$ 12800000,$ 1111061,$ 70092496,8.1,64.0,235.0,36185,83.0,7.9,8.1,2553.0,27708.0,6.5,4.0,8.3,5748.0,8.1,19599.0,7.8,4502.0,31976,3213,996,0.88,1,Action, Drama, War,South Korea,,,12800000.0,Dong-Gun Jang,D,Won Bin,D,Eun-ju Lee,D
1660,Innocence,2004,Japan,"Japanese, Cantonese, English",100,"Animation, Drama, Sci-Fi",Mamoru Oshii,Bandai Visual Company,"In the year 2032, Batô, a cyborg detective for the anti-terrorist unit Public Security Section 9, investigates the case of a female robot--one created solely for sexual pleasure--who slaughtered her owner.",JPY 2000000000,$ 1043896,$ 9789651,7.5,66.0,106.0,34306,135.0,7.6,7.5,2468.0,25241.0,7.0,8.0,7.6,5485.0,7.5,18465.0,7.3,3120.0,27832,5653,821,0.81,1,Animation, Drama, Sci-Fi,Japan,,,18600000.0,Akio Ôtsuka,D,Atsuko Tanaka,D,Kôichi Yamadera,D
1738,National Treasure,2004,USA,"English, Spanish",131,"Action, Adventure, Mystery",Jon Turteltaub,Walt Disney Pictures,A historian races to find the legendary Templar Treasure before a team of mercenaries.,$ 100000000,$ 173008894,$ 347512318,6.8,39.0,718.0,289540,195.0,7.0,6.8,37065.0,199484.0,6.5,97.0,6.9,73623.0,6.8,126229.0,6.9,29699.0,194294,85877,9369,0.67,1,Action, Adventure, Mystery,USA,,,100000000.0,Nicolas Cage,A,Diane Kruger,C,Justin Bartha,C
1818,In Good Company,2004,USA,English,109,"Comedy, Drama, Romance",Paul Weitz,Universal Pictures,A middle-aged ad exec is faced with a new boss who's nearly half his age... and who also happens to be sleeping with his daughter.,$ 26000000,$ 45806659,$ 61315215,6.4,66.0,214.0,52249,139.0,6.1,6.5,11161.0,31814.0,7.3,3.0,6.3,6019.0,6.4,28259.0,6.5,8144.0,28920,21570,1759,0.55,0,Comedy, Drama, Romance,USA,,,26000000.0,Dennis Quaid,A,Topher Grace,D,Scarlett Johansson,A
1817,Shi mian mai fu,2004,"China, Hong Kong",Mandarin,119,"Action, Adventure, Drama",Yimou Zhang,Beijing New Picture Film Co.,"A romantic police captain breaks a beautiful member of a rebel group out of prison to help her rejoin her fellows, but things are not what they seem.",CNY 100000000,$ 11050094,$ 92863945,7.5,89.0,427.0,103646,254.0,7.8,7.5,16306.0,68928.0,7.0,22.0,7.6,15668.0,7.5,53876.0,7.6,14159.0,84995,16252,2399,0.82,1,Action, Adventure, Drama,China, Hong Kong,,14000000.000000002,Takeshi Kaneshiro,D,Andy Lau,D,Ziyi Zhang,D
1706,New York Minute,2004,USA,English,91,"Comedy, Crime, Family",Dennie Gordon,Warner Bros.,"Two very different twin sisters haven't spent a day together in years. That changes the day they have to go to NYC and everything goes wrong - chased by a truancy officer, a killer wanting a chip back and two nice young guys.",$ 30000000,$ 14071441,$ 21289826,4.9,33.0,116.0,20658,69.0,5.3,4.3,9303.0,7198.0,5.1,9.0,5.3,8095.0,4.3,6767.0,4.1,1222.0,6302,9118,5238,0.31,0,Comedy, Crime, Family,USA,,,30000000.0,Ashley Olsen,D,Mary-Kate Olsen,D,Eugene Levy,D
1659,Hauru no ugoku shiro,2004,Japan,Japanese,119,"Animation, Adventure, Family",Hayao Miyazaki,Buena Vista Home Entertainment,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",$ 24000000,$ 5576743,$ 236049757,8.2,80.0,382.0,291548,236.0,8.6,8.1,64202.0,158089.0,8.2,284.0,8.3,86708.0,8.1,106608.0,7.9,18504.0,265891,20684,4973,0.91,1,Animation, Adventure, Family,Japan,,,24000000.0,Chieko Baishô,D,Takuya Kimura,D,Akihiro Miwa,D
1627,The Prince & Me,2004,"USA, Czech Republic","English, Danish, German",111,"Comedy, Family, Romance",Martha Coolidge,Lions Gate Films,"At college Paige meets Eddie, a fellow student from Denmark, whom she first dislikes but later accepts, likes, and loves; he proves to be Crown Prince Edvard. Paige follows him to Copenhagen, and he follows her back to school with a plan.",$ 22000000,$ 28176497,$ 37666766,5.9,47.0,156.0,36086,84.0,6.1,5.6,19645.0,9567.0,6.8,11.0,6.1,11079.0,5.7,14155.0,5.9,3193.0,14944,17918,3224,0.41,0,Comedy, Family, Romance,USA, Czech Republic,,22000000.0,Julia Stiles,D,Luke Mably,D,Ben Miller,D
1657,The SpongeBob SquarePants Movie,2004,USA,English,87,"Animation, Adventure, Comedy","Stephen Hillenburg, Mark Osborne",Paramount Pictures,SpongeBob SquarePants takes leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.,$ 30000000,$ 85417988,$ 141035926,7.0,66.0,202.0,73118,86.0,6.9,7.0,10894.0,45313.0,7.7,216.0,7.1,27785.0,6.9,21324.0,6.7,4413.0,52152,17994,2972,0.71,1,Animation, Adventure, Comedy,USA,,,30000000.0,Tom Kenny,D,Clancy Brown,D,Rodger Bumpass,D
1508,Jersey Girl,2004,USA,English,102,"Comedy, Drama, Romance",Kevin Smith,Miramax,"After his career is sidelined by an unexpected tragedy and a personal blow-up, a single man must take care of his precocious daughter.",$ 35000000,$ 25268157,$ 35492921,6.2,43.0,362.0,60967,121.0,6.0,6.2,13713.0,36069.0,5.9,12.0,6.2,9548.0,6.1,31476.0,6.1,7816.0,30055,26309,4603,0.49,0,Comedy, Drama, Romance,USA,,,35000000.0,Betty Aberlin,D,Matt McFarland,D,Sarah Stafford,D
1619,The Ladykillers,2004,USA,"English, Vietnamese",104,"Comedy, Crime, Thriller","Ethan Coen, Joel Coen",Touchstone Pictures,"An eccentric, if not charming Southern professor and his crew pose as a classical ensemble in order to rob a casino, all under the nose of his unsuspecting but sharp old landlady.",$ 35000000,$ 39799191,$ 76665191,6.2,56.0,407.0,95108,194.0,6.1,6.2,9275.0,68221.0,5.8,14.0,6.4,13307.0,6.2,48769.0,6.1,13926.0,43708,44832,6568,0.46,0,Comedy, Crime, Thriller,USA,,,35000000.0,Tom Hanks,A,Irma P. Hall,D,Marlon Wayans,D
1518,Harry Potter and the Prisoner of Azkaban,2004,"UK, USA",English,142,"Adventure, Family, Fantasy",Alfonso Cuarón,Warner Bros.,"It's Harry's third year at Hogwarts; not only does he have a new ""Defense Against the Dark Arts"" teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry.",$ 130000000,$ 249975996,$ 796093802,7.9,82.0,1550.0,502992,292.0,8.2,7.7,102475.0,284827.0,8.4,866.0,8.0,169468.0,7.6,165703.0,7.7,34312.0,440867,53263,8862,0.88,1,Adventure, Family, Fantasy,UK, USA,,130000000.0,Daniel Radcliffe,A,Richard Griffiths,D,Pam Ferris,D
1618,Godsend,2004,"Canada, USA",English,102,"Action, Drama, Fantasy",Nick Hamm,Lions Gate Films,"A couple agree to have their deceased son cloned, under the supervision of an enigmatic doctor, but bizarre things start to happen several years after his rebirth.",$ 25000000,$ 14379751,$ 30114487,4.8,24.0,192.0,24178,124.0,5.2,4.8,3262.0,16290.0,3.0,2.0,4.9,1925.0,4.8,13161.0,4.9,4264.0,3647,15581,4950,0.15,0,Action, Drama, Fantasy,Canada, USA,,25000000.0,Greg Kinnear,D,Rebecca Romijn,D,Robert De Niro,A
1614,Troy,2004,"USA, Malta, UK",English,163,"Drama, History",Wolfgang Petersen,Warner Bros.,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",$ 175000000,$ 133378256,$ 497409852,7.2,56.0,1763.0,461611,204.0,7.2,7.2,62377.0,306185.0,7.5,196.0,7.5,119283.0,7.1,196312.0,6.9,38536.0,350003,97511,14097,0.76,1,Drama, History,,USA, Malta, UK,175000000.0,Julian Glover,D,Brian Cox,D,Nathan Jones,D
1612,The Notebook,2004,USA,English,123,"Drama, Romance",Nick Cassavetes,New Line Cinema,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",$ 29000000,$ 81001787,$ 115533700,7.8,53.0,1197.0,486191,178.0,8.2,7.7,170765.0,216615.0,7.9,396.0,7.8,153829.0,7.8,186612.0,7.7,30107.0,413664,58974,13553,0.85,1,Drama, Romance,,USA,,,29000000.0,Tim Ivey,D,Gena Rowlands,D,Starletta DuPois,D
1527,Shark Tale,2004,USA,English,90,"Animation, Adventure, Comedy","Bibo Bergeron, Vicky Jenson",DreamWorks Animation,"When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother decide to use the incident to their own advantage.",$ 75000000,$ 160861908,$ 363530196,6.0,48.0,312.0,157782,146.0,6.2,5.9,31425.0,94166.0,5.6,219.0,6.0,49529.0,5.9,59261.0,5.9,12154.0,61111,84778,11893,0.39,0,Animation, Adventure, Comedy,USA,,,75000000.0,Will Smith,A,Robert De Niro,A,Renée Zellweger,B
1610,Club Dread,2004,"USA, Mexico",English,104,"Comedy, Horror, Mystery",Jay Chandrasekhar,Broken Lizard Industries,When a serial killer interrupts the fun at the swanky Coconut Pete's Coconut Beach Resort--a hedonistic island paradise for swingers--it's up to the club's staff to stop the violence...or at least hide it.,$ 8600000,$ 5001708,$ 7565807,5.7,45.0,195.0,27185,71.0,5.6,5.7,2119.0,19982.0,6.2,4.0,5.9,3256.0,5.6,15246.0,5.3,3189.0,10461,12949,3775,0.38,0,Comedy, Horror, Mystery,USA, Mexico,,8600000.0,Elena Lyons,D,Dan Montgomery Jr.,D,Tanja Reichert,D
1533,Finding Neverland,2004,"USA, UK",English,106,"Biography, Drama, Family",Marc Forster,Miramax,The story of Sir,$ 25000000,$ 51680613,$ 116650613,7.7,67.0,649.0,192528,232.0,7.8,7.6,53673.0,105605.0,8.0,65.0,7.8,40366.0,7.6,93944.0,7.6,22131.0,163651,24692,4185,0.85,1,Biography, Drama, Family,USA, UK,,25000000.0,Johnny Depp,A,Kate Winslet,A,Julie Christie,D
1609,Scooby-Doo 2: Monsters Unleashed,2004,"USA, Canada",English,93,"Adventure, Comedy, Family",Raja Gosnell,Warner Bros.,"The Mystery Inc. gang must save Coolsville from an attack of past unmasked monsters brought to life by an evil masked figure trying to ""unmask"" the gang.",$ 80000000,$ 84216833,$ 181216833,5.0,34.0,162.0,44719,98.0,5.5,4.8,7707.0,26459.0,5.3,113.0,5.1,16336.0,4.7,12349.0,5.0,4039.0,12429,23683,8607,0.28,0,Adventure, Comedy, Family,USA, Canada,,80000000.0,Freddie Prinze Jr.,D,Sarah Michelle Gellar,D,Matthew Lillard,D
1608,The Punisher,2004,"USA, Germany",English,124,"Action, Crime, Drama",Jonathan Hensleigh,Lions Gate Films,An undercover FBI agent becomes a vigilante assassin and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.,$ 33000000,$ 33810189,$ 54700105,6.4,33.0,647.0,144284,201.0,6.4,6.4,8977.0,109589.0,6.3,42.0,6.6,27599.0,6.4,73174.0,6.3,14491.0,79913,55807,8564,0.55,0,Action, Crime, Drama,USA, Germany,,33000000.0,A. Russell Andrews,D,Omar Avila,D,James Carpinello,D
1551,The Perfect Score,2004,"USA, Germany",English,93,"Comedy, Crime",Brian Robbins,Paramount Pictures,Six high school seniors decide to break into the Princeton Testing Center so they can steal the answers to their upcoming SAT tests and all get perfect scores.,$ 40000000,$ 10391003,$ 10772580,5.7,35.0,96.0,22652,67.0,5.9,5.7,4898.0,13688.0,6.2,5.0,6.0,5509.0,5.6,10682.0,5.5,2019.0,7260,13208,2184,0.32,0,Comedy, Crime,,USA, Germany,,40000000.0,Erika Christensen,D,Chris Evans,A,Bryan Greenberg,D
1599,Man on Fire,2004,"USA, UK, Mexico, Switzerland","English, Spanish",146,"Action, Crime, Drama",Tony Scott,Fox 2000 Pictures,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",$ 70000000,$ 77911774,$ 130293714,7.7,47.0,744.0,312936,177.0,7.8,7.7,30545.0,226163.0,7.6,55.0,7.8,62516.0,7.7,153297.0,7.5,31229.0,271181,37747,4008,0.87,1,Action, Crime, Drama,USA, UK, Mexico,70000000.0,Denzel Washington,A,Dakota Fanning,D,Radha Mitchell,D
1597,Ella Enchanted,2004,"USA, Ireland, UK",English,96,"Comedy, Family, Fantasy",Tommy O'Haver,Miramax,"Ella is under a spell to be constantly obedient, a fact she must hide from her new step-family in order to protect the prince of the land, her friend for whom she's falling.",$ 31000000,$ 22918387,$ 27388767,6.2,53.0,258.0,58382,87.0,6.4,6.0,28663.0,17481.0,6.4,59.0,6.2,20342.0,6.1,18841.0,6.5,5295.0,29463,24936,3983,0.5,0,Comedy, Family, Fantasy,USA, Ireland, UK,31000000.0,Anne Hathaway,A,Hugh Dancy,D,Cary Elwes,D
1621,The Passion of the Christ,2004,USA,"Aramaic, Latin, Hebrew",127,Drama,Mel Gibson,Icon Productions,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",$ 30000000,$ 370782930,$ 610061517,7.1,47.0,2814.0,203736,395.0,7.3,7.1,26400.0,137114.0,7.7,58.0,7.2,33427.0,7.0,99087.0,7.2,27186.0,144431,38611,20694,0.71,1,Drama,,,USA,,,30000000.0,Jim Caviezel,D,Maia Morgenstern,D,Christo Jivkov,D
1557,Spider-Man 2,2004,USA,"English, Russian, Chinese",127,"Action, Adventure, Sci-Fi",Sam Raimi,Columbia Pictures,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,$ 200000000,$ 373585825,$ 783766341,7.3,83.0,1407.0,512364,316.0,6.9,7.3,55133.0,337022.0,7.9,680.0,7.4,140781.0,7.2,193486.0,7.3,39635.0,393427,104495,14442,0.77,1,Action, Adventure, Sci-Fi,USA,,,200000000.0,Tobey Maguire,A,Kirsten Dunst,C,James Franco,B
1413,Superbabies: Baby Geniuses 2,2004,"Germany, UK, USA",English,88,"Comedy, Family, Sci-Fi",Bob Clark,ApolloMedia Distribution,A group of smart-talking toddlers find themselves at the center of a media mogul's experiment to crack the code to baby talk. The toddlers must race against time for the sake of babies everywhere.,$ 20000000,$ 9219388,$ 9448644,1.9,9.0,127.0,29223,36.0,2.6,1.6,3091.0,19068.0,1.2,29.0,1.8,8948.0,1.7,10471.0,1.7,2223.0,8735,916,19572,0.3,0,Comedy, Family, Sci-Fi,Germany, UK, USA,20000000.0,Jon Voight,D,Scott Baio,D,Vanessa Angel,D
1392,The Girl Next Door,2004,USA,English,109,"Comedy, Drama, Romance",Luke Greenfield,Regency Enterprises,A teenager's dreams come true when a former porn star moves in next door and they fall in love.,$ 25000000,$ 14589444,$ 30381722,6.7,47.0,535.0,193007,121.0,6.1,6.8,26897.0,134927.0,6.9,43.0,6.8,52866.0,6.7,93316.0,6.5,11795.0,124110,61797,7100,0.64,1,Comedy, Drama, Romance,USA,,,25000000.0,Emile Hirsch,D,Elisha Cuthbert,D,Timothy Olyphant,D
1594,Around the World in 80 Days,2004,"USA, Germany, Ireland, UK","English, Cantonese, French, German, Hindi, Turkish",120,"Action, Adventure, Comedy",Frank Coraci,Walden Media,"To win a bet, an eccentric British inventor, beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly eighty days.",$ 110000000,$ 24008137,$ 72178895,5.9,49.0,195.0,80189,181.0,6.0,5.8,9781.0,56150.0,6.2,52.0,6.0,24506.0,5.7,31650.0,5.7,7875.0,28802,45222,6165,0.36,0,Action, Adventure, Comedy,USA, Germany, Ireland,110000000.0,Jackie Chan,A,Steve Coogan,C,Cécile de France,D
1593,The Whole Ten Yards,2004,USA,"English, Hungarian, Hebrew",98,"Comedy, Crime, Thriller",Howard Deutch,Nine Yards Two Productions,"Jimmy the Tulip's (Willis) quiet new life is shaken up by his old pal Oz (Perry), whose wife (Henstridge) has been kidnapped by a Hungarian mob. The Tulip and his wife Jill (Peet) spring into action.",$ 40000000,$ 16328471,$ 25449487,5.5,24.0,118.0,52007,74.0,5.9,5.5,6472.0,36765.0,6.5,4.0,5.9,7446.0,5.5,28653.0,5.3,6295.0,14534,31066,6407,0.28,0,Comedy, Crime, Thriller,USA,,,40000000.0,Bruce Willis,A,Matthew Perry,D,Amanda Peet,D
